Municipios; Homicidio  Doloso;Vitimas de Homicidio Doloso; Latrocinio; Furtos;Abigeato*;Furto de Veiculo ; Roubos; Roubo de Veiculo; Estelionato; Delitos Relacionados a Armas e Municoes; Entorpecentes Posse; Entorpecentes Trafico;Vitimas de Latrocinio;Vitimas de Lesao Corp Seg Morte
ACEGUA;0;0;0;1;0;0;0;0;1;2;0;0;0;0
AGUA SANTA;0;0;0;0;0;0;0;0;3;0;0;0;0;0
AGUDO;0;0;0;4;0;1;0;0;5;0;0;0;0;0
AJURICABA;0;0;0;1;0;0;0;0;5;0;1;0;0;0
ALECRIM;0;0;0;4;0;0;0;0;2;1;0;0;0;0
ALEGRETE;2;2;1;83;7;1;7;1;57;2;6;6;1;0
ALEGRIA;0;0;0;1;0;1;0;0;2;0;0;0;0;0
ALMIRANTE TAMANDARE DO SUL;0;0;0;0;0;0;0;0;1;0;0;0;0;0
ALPESTRE;0;0;0;3;0;0;0;0;2;0;0;0;0;0
ALTO ALEGRE;0;0;0;0;0;0;0;0;0;0;1;0;0;0
ALTO FELIZ;0;0;0;0;0;1;0;0;4;0;2;0;0;0
ALVORADA;7;7;0;136;0;14;148;26;115;7;8;52;0;0
AMARAL FERRADOR;0;0;0;0;0;0;0;0;1;0;0;0;0;0
AMETISTA DO SUL;0;0;0;5;0;0;1;0;4;2;4;1;0;0
ANDRE DA ROCHA;0;0;0;3;0;0;0;0;1;0;0;0;0;0
ANTA GORDA;0;0;0;3;1;0;0;0;1;0;1;1;0;0
ANTONIO PRADO;0;0;0;6;1;1;0;0;11;0;1;2;0;0
ARAMBARE;0;0;0;9;1;1;2;0;5;0;2;3;0;0
ARARICA;0;0;0;7;1;0;1;0;3;0;0;0;0;0
ARATIBA;0;0;0;2;0;0;0;0;6;0;0;0;0;0
ARROIO DO MEIO;0;0;0;4;0;1;2;0;9;0;3;2;0;0
ARROIO DO PADRE;0;0;0;0;0;0;0;0;1;0;0;0;0;0
ARROIO DO SAL;0;0;0;56;1;0;0;0;20;3;3;7;0;0
ARROIO DO TIGRE;0;0;0;5;1;0;0;0;4;2;0;0;0;0
ARROIO DOS RATOS;0;0;0;12;0;0;0;0;2;1;1;6;0;1
ARROIO GRANDE;0;0;0;13;4;0;0;0;10;2;2;5;0;0
ARVOREZINHA;0;0;0;2;0;0;0;0;4;2;0;0;0;0
AUGUSTO PESTANA;0;0;0;0;0;0;0;0;3;0;1;0;0;0
AUREA;1;1;0;4;0;0;0;0;0;0;0;1;0;0
BAGE;1;1;0;87;6;4;14;0;82;5;16;15;0;0
BALNEARIO PINHAL;1;1;0;32;3;4;6;2;14;2;7;5;0;0
BARAO;0;0;0;1;0;0;0;0;5;0;0;1;0;0
BARAO DE COTEGIPE;0;0;0;4;0;0;0;0;1;0;0;0;0;0
BARAO DO TRIUNFO;0;0;0;0;0;0;0;0;1;0;0;0;0;0
BARRA DO GUARITA;0;0;0;0;0;0;1;0;0;2;0;2;0;0
BARRA DO QUARAI;0;0;0;1;0;0;0;0;2;0;0;1;0;0
BARRA DO RIBEIRO;1;1;0;11;2;0;0;0;5;1;11;4;0;0
BARRA DO RIO AZUL;0;0;0;1;0;0;0;0;0;0;0;0;0;0
BARRA FUNDA;0;0;0;2;0;0;0;0;0;0;0;0;0;0
BARRACAO;0;0;0;1;0;0;0;0;3;1;0;0;0;0
BARROS CASSAL;0;0;0;3;0;2;2;0;1;0;1;0;0;0
